index,Date,HomeTeamId,AwayTeamId,HTR,FTR
5916,26/09/17,349.0,71.0,H,H
5917,26/09/17,343.0,68.0,A,A
5918,26/09/17,384.0,355.0,D,H
5919,26/09/17,351.0,63.0,D,A
5920,27/09/17,332.0,345.0,D,H
5921,27/09/17,356.0,76.0,H,H
5922,29/09/17,69.0,63.0,A,A
5923,30/09/17,715.0,342.0,D,D
5924,30/09/17,322.0,332.0,H,H
5925,30/09/17,349.0,387.0,A,A
5926,30/09/17,343.0,402.0,A,D
5927,30/09/17,384.0,357.0,D,A
5928,30/09/17,351.0,356.0,H,H
5929,30/09/17,1081.0,71.0,A,D
5930,30/09/17,355.0,68.0,D,A
5931,01/10/17,345.0,341.0,H,H
5932,13/10/17,332.0,715.0,H,H
5933,14/10/17,357.0,343.0,H,D
5934,14/10/17,402.0,384.0,D,H
5935,14/10/17,63.0,1081.0,A,D
5936,14/10/17,341.0,355.0,D,A
5937,14/10/17,68.0,322.0,A,D
5938,14/10/17,356.0,349.0,D,H
5939,14/10/17,71.0,69.0,A,D
5940,14/10/17,76.0,58.0,D,H
5941,15/10/17,342.0,351.0,H,H
5942,21/10/17,58.0,63.0,D,H
5943,21/10/17,357.0,322.0,D,A
5944,21/10/17,402.0,71.0,A,D
5945,21/10/17,387.0,341.0,A,A
5946,21/10/17,342.0,345.0,H,H
5947,21/10/17,343.0,715.0,D,A
5948,21/10/17,384.0,332.0,D,H
5949,21/10/17,356.0,355.0,H,H
5950,21/10/17,76.0,1081.0,H,H
5951,22/10/17,349.0,68.0,D,A
5952,27/10/17,341.0,356.0,D,A
5953,28/10/17,715.0,384.0,D,D
5954,28/10/17,322.0,351.0,A,A
5955,28/10/17,68.0,342.0,A,A
5956,28/10/17,1081.0,402.0,D,A
5957,28/10/17,69.0,76.0,D,H
5958,28/10/17,355.0,343.0,A,A
5959,28/10/17,345.0,357.0,H,D
5960,28/10/17,71.0,387.0,D,A
5961,29/10/17,332.0,58.0,D,D
5962,31/10/17,715.0,349.0,H,H
5963,31/10/17,63.0,387.0,A,A
5964,31/10/17,322.0,343.0,A,A
5965,31/10/17,341.0,342.0,H,A
5966,31/10/17,68.0,76.0,A,A
5967,31/10/17,69.0,356.0,H,H
5968,31/10/17,355.0,351.0,H,H
5969,31/10/17,345.0,384.0,H,H
5970,01/11/17,332.0,402.0,D,A
5971,01/11/17,1081.0,58.0,A,A
5972,03/11/17,76.0,63.0,H,H
5973,04/11/17,58.0,345.0,A,A
5974,04/11/17,357.0,332.0,H,H
5975,04/11/17,402.0,341.0,H,H
5976,04/11/17,387.0,715.0,D,H
