id,day,month,year,weekday,hour,minute,matchday,leagueType,homeId,awayId,scoreHomeHt,scoreAwayHt,scoreHomeFt,scoreAwayFt,h2hHomeWins,h2hHomeLosses,h2hAwayWins,h2hAwayLosses,h2hDraws,h2hAvgGoals,h2hMatches
325550,20,3,2022,7,13,35,27.0,0.0,678,675,1.0,2.0,3.0,2.0,1.0,-3.0,3.0,-1.0,1.0,20.0,5.0
325551,12,3,2022,6,15,30,26.0,0.0,6806,718,0.0,0.0,1.0,0.0,3.0,-1.0,1.0,-3.0,1.0,7.0,5.0
325552,11,3,2022,5,19,0,26.0,0.0,1909,678,0.0,2.0,2.0,3.0,0.0,-5.0,5.0,0.0,0.0,24.0,5.0
325553,12,3,2022,6,20,0,26.0,0.0,683,673,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,3.0,11.0,5.0
325554,13,3,2022,7,15,45,26.0,0.0,684,675,1.0,0.0,1.0,2.0,0.0,-5.0,5.0,0.0,0.0,18.0,5.0
325555,13,3,2022,7,13,30,26.0,0.0,671,679,0.0,0.0,0.0,0.0,1.0,-3.0,3.0,-1.0,1.0,12.0,5.0
325556,13,3,2022,7,11,15,26.0,0.0,1920,672,0.0,0.0,1.0,0.0,2.0,-1.0,1.0,-2.0,2.0,11.0,5.0
325557,13,3,2022,7,13,30,26.0,0.0,676,674,0.0,0.0,0.0,1.0,0.0,-3.0,3.0,0.0,2.0,16.0,5.0
325558,12,3,2022,6,17,45,26.0,0.0,677,1915,2.0,3.0,4.0,3.0,1.0,-3.0,3.0,-1.0,1.0,16.0,5.0
325559,13,3,2022,7,19,0,26.0,0.0,682,666,0.0,0.0,0.0,1.0,1.0,-3.0,3.0,-1.0,1.0,12.0,5.0
325560,5,3,2022,6,15,30,25.0,0.0,672,673,0.0,0.0,0.0,0.0,1.0,-3.0,3.0,-1.0,1.0,13.0,5.0
325561,19,4,2022,2,16,45,25.0,0.0,679,6806,0.0,1.0,0.0,1.0,0.0,-5.0,5.0,0.0,0.0,15.0,5.0
325562,6,3,2022,7,11,15,25.0,0.0,674,671,1.0,0.0,3.0,1.0,5.0,0.0,0.0,-5.0,0.0,17.0,5.0
325563,6,3,2022,7,15,45,25.0,0.0,1915,682,1.0,1.0,1.0,3.0,1.0,-3.0,3.0,-1.0,1.0,15.0,5.0
325564,5,3,2022,6,17,45,25.0,0.0,718,676,1.0,0.0,1.0,1.0,1.0,-2.0,2.0,-1.0,2.0,14.0,5.0
325565,6,3,2022,7,19,0,25.0,0.0,1920,684,0.0,0.0,0.0,1.0,3.0,-2.0,2.0,-3.0,0.0,10.0,5.0
325566,5,3,2022,6,20,0,25.0,0.0,675,677,0.0,1.0,1.0,1.0,3.0,0.0,0.0,-3.0,2.0,11.0,5.0
325567,6,3,2022,7,13,30,25.0,0.0,666,1909,0.0,0.0,1.0,0.0,3.0,-1.0,1.0,-3.0,1.0,12.0,5.0
325568,6,3,2022,7,15,45,25.0,0.0,678,683,2.0,0.0,3.0,2.0,5.0,0.0,0.0,-5.0,0.0,24.0,5.0
325569,27,2,2022,7,11,15,24.0,0.0,679,1915,0.0,0.0,4.0,1.0,3.0,-1.0,1.0,-3.0,1.0,16.0,5.0
325570,27,2,2022,7,13,35,24.0,0.0,6806,674,1.0,0.0,1.0,2.0,0.0,-4.0,4.0,0.0,1.0,14.0,5.0
325571,27,2,2022,7,19,0,24.0,0.0,673,676,0.0,0.0,1.0,2.0,1.0,-4.0,4.0,-1.0,0.0,14.0,5.0
325572,26,2,2022,6,20,0,24.0,0.0,1909,1920,1.0,1.0,2.0,1.0,2.0,-3.0,3.0,-2.0,0.0,15.0,5.0
325573,25,2,2022,5,19,0,24.0,0.0,683,666,0.0,1.0,1.0,2.0,1.0,-4.0,4.0,-1.0,0.0,15.0,5.0
325574,26,2,2022,6,15,30,24.0,0.0,671,684,1.0,0.0,2.0,0.0,2.0,-3.0,3.0,-2.0,0.0,17.0,5.0
325575,27,2,2022,7,15,45,24.0,0.0,718,678,2.0,0.0,2.0,1.0,1.0,-1.0,1.0,-1.0,3.0,12.0,5.0
325576,26,2,2022,6,17,45,24.0,0.0,677,672,1.0,0.0,1.0,0.0,2.0,-1.0,1.0,-2.0,2.0,10.0,5.0
