id,date,status,league_name,league_id,league_type,stage,home_team,home_team_id,away_team,away_team_id,venue,home_odds,draw_odds,away_odds,home/away,draw,both_score,>1.5,>2.5,>3.5,>4.5,elevation,temperature_2m,rain,cloud_cover,wind_speed_10m,wind_direction_10m,relative_humidity_2m
327006,2022-05-07 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Burnley,328,Aston Villa,58,Turf Moor,3.07,3.33,2.31,0,0,1,1,0,0,0,121.0,13.5,0.0,34.0,17.1,72.0,70.0
327004,2022-05-07 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brentford,402,Southampton,340,Brentford Community Stadium,2.34,3.43,2.95,1,0,1,0,0,0,0,10.0,17.4,0.0,27.0,15.6,52.0,63.0
327008,2022-05-07 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Crystal Palace,354,Watford,346,Selhurst Park,1.71,3.77,4.82,1,0,1,0,0,0,0,55.0,16.4,0.1,10.0,16.0,59.0,68.0
327007,2022-05-07 14:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Chelsea,61,Wolverhampton,76,Stamford Bridge,1.35,4.74,9.3,0,1,1,1,0,0,0,9.0,16.7,0.0,25.0,15.1,62.0,67.0
327005,2022-05-07 16:30:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Brighton Hove,397,Man United,66,The American Express Community Stadium,3.14,3.4,2.25,1,0,1,1,0,0,0,68.0,15.1,0.1,19.0,11.5,51.0,78.0
327010,2022-05-07 18:45:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Liverpool,64,Tottenham,73,Anfield,1.42,4.86,6.67,0,1,1,0,0,0,0,59.0,12.7,0.0,100.0,17.3,91.0,75.0
327012,2022-05-08 13:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Norwich,68,West Ham,563,Carrow Road,4.39,3.71,1.78,0,0,1,1,0,0,0,3.0,13.0,0.0,3.0,9.8,84.0,61.0
327003,2022-05-08 13:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Arsenal,57,Leeds United,341,Emirates Stadium,1.42,4.78,6.85,1,0,1,0,0,0,0,30.0,17.0,0.0,26.0,10.5,96.0,51.0
327009,2022-05-08 13:00:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Leicester City,338,Everton,62,King Power Stadium,2.17,3.42,3.27,0,0,1,0,0,0,0,54.0,16.6,0.0,100.0,4.5,119.0,57.0
327011,2022-05-08 15:30:00+00:00,FINISHED,Premier League,2021,LEAGUE,REGULAR_SEASON,Man City,65,Newcastle,67,Etihad Stadium,1.2,6.57,13.57,1,0,1,1,0,0,0,0.0,5.7,0.0,66.0,35.4,313.0,89.0
