day,month,year,weekday,hour,minute,matchday,homeId,awayId,scoreHomeHt,scoreAwayHt,target
19.0,2.0,2022.0,6.0,15.0,0.0,26.0,57.0,402.0,0.0,0.0,1.0
30.0,4.0,2023.0,7.0,13.0,0.0,34.0,63.0,65.0,1.0,2.0,0.0
5.0,3.0,2024.0,2.0,19.0,45.0,36.0,1076.0,385.0,4.0,0.0,1.0
19.0,1.0,2023.0,4.0,20.0,0.0,7.0,65.0,73.0,0.0,2.0,1.0
5.0,3.0,2024.0,2.0,19.0,45.0,36.0,345.0,1138.0,0.0,0.0,1.0
30.0,9.0,2023.0,6.0,11.0,30.0,7.0,58.0,397.0,3.0,0.0,1.0
29.0,1.0,2022.0,6.0,15.0,0.0,29.0,322.0,72.0,2.0,0.0,1.0
13.0,4.0,2024.0,6.0,14.0,0.0,33.0,65.0,389.0,1.0,0.0,1.0
16.0,3.0,2024.0,6.0,15.0,0.0,38.0,349.0,345.0,3.0,0.0,1.0
24.0,2.0,2024.0,6.0,15.0,0.0,34.0,69.0,385.0,0.0,1.0,1.0
21.0,8.0,2022.0,7.0,13.0,0.0,3.0,563.0,397.0,0.0,1.0,0.0
2.0,4.0,2022.0,6.0,11.0,30.0,40.0,336.0,351.0,0.0,3.0,0.0
11.0,5.0,2024.0,6.0,11.0,30.0,37.0,63.0,65.0,0.0,1.0,0.0
26.0,8.0,2023.0,6.0,14.0,0.0,3.0,62.0,76.0,0.0,0.0,0.0
18.0,8.0,2021.0,3.0,18.0,45.0,3.0,332.0,1044.0,0.0,0.0,0.0
20.0,10.0,2021.0,3.0,18.0,45.0,13.0,322.0,1077.0,1.0,1.0,0.0
7.0,4.0,2023.0,5.0,14.0,0.0,40.0,70.0,387.0,1.0,0.0,0.0
6.0,8.0,2022.0,6.0,14.0,0.0,2.0,69.0,343.0,3.0,1.0,1.0
9.0,3.0,2024.0,6.0,15.0,0.0,37.0,69.0,343.0,0.0,0.0,0.0
15.0,10.0,2022.0,6.0,11.0,30.0,15.0,385.0,394.0,1.0,1.0,1.0
11.0,12.0,2021.0,6.0,15.0,0.0,22.0,342.0,336.0,0.0,0.0,1.0
22.0,10.0,2022.0,6.0,14.0,0.0,17.0,355.0,387.0,0.0,0.0,1.0
29.0,9.0,2021.0,3.0,18.0,45.0,10.0,63.0,72.0,3.0,1.0,1.0
29.0,12.0,2022.0,4.0,19.0,45.0,25.0,394.0,385.0,1.0,0.0,1.0
29.0,1.0,2022.0,6.0,15.0,0.0,29.0,69.0,355.0,3.0,0.0,1.0
18.0,2.0,2023.0,6.0,15.0,0.0,24.0,397.0,63.0,0.0,0.0,0.0
10.0,2.0,2024.0,6.0,15.0,0.0,24.0,73.0,397.0,0.0,1.0,1.0
2.0,4.0,2022.0,6.0,14.0,0.0,40.0,1077.0,343.0,0.0,1.0,0.0
12.0,11.0,2022.0,6.0,19.0,45.0,16.0,76.0,57.0,0.0,0.0,0.0
19.0,10.0,2022.0,3.0,18.0,30.0,12.0,1044.0,340.0,0.0,1.0,0.0
15.0,1.0,2022.0,6.0,12.0,30.0,27.0,715.0,59.0,0.0,1.0,0.0
3.0,4.0,2022.0,7.0,15.0,30.0,31.0,73.0,67.0,1.0,1.0,1.0
29.0,1.0,2022.0,6.0,15.0,0.0,29.0,343.0,1076.0,0.0,0.0,1.0
15.0,1.0,2022.0,6.0,12.0,30.0,22.0,65.0,61.0,0.0,0.0,1.0
14.0,2.0,2024.0,3.0,19.0,45.0,32.0,70.0,69.0,1.0,0.0,1.0
29.0,3.0,2024.0,5.0,15.0,0.0,39.0,394.0,1076.0,0.0,2.0,0.0
11.0,5.0,2024.0,6.0,14.0,0.0,37.0,1044.0,402.0,0.0,0.0,0.0
2.0,2.0,2024.0,5.0,20.0,0.0,30.0,387.0,341.0,0.0,0.0,0.0
15.0,4.0,2022.0,5.0,14.0,0.0,42.0,74.0,336.0,1.0,0.0,1.0
