HomeTeam,AwayTeam,AvgH,AvgD,AvgA,DayOfYear,DayOfWeek,HourOfDay,MinuteOfHour,target
63.0,64.0,2.89,3.4,2.36,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.89,3.4,2.36,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.89,3.4,2.36,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.89,3.4,2.36,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.89,3.4,2.36,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.89,3.4,2.36,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.89,3.4,2.36,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.89,3.4,2.36,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.89,3.4,2.36,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.89,3.4,2.36,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.89,3.4,2.36,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.89,3.4,2.36,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.89,3.4,2.36,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.89,3.4,2.36,42.0,0.0,15.0,0.0,1.0
63.0,64.0,3.95,3.73,1.84,42.0,0.0,15.0,0.0,1.0
63.0,64.0,3.95,3.73,1.84,42.0,0.0,15.0,0.0,1.0
63.0,64.0,3.95,3.73,1.84,42.0,0.0,15.0,0.0,1.0
63.0,64.0,3.95,3.73,1.84,42.0,0.0,15.0,0.0,1.0
63.0,64.0,3.95,3.73,1.84,42.0,0.0,15.0,0.0,1.0
63.0,64.0,3.95,3.73,1.84,42.0,0.0,15.0,0.0,1.0
63.0,64.0,3.95,3.73,1.84,42.0,0.0,15.0,0.0,1.0
63.0,64.0,3.95,3.73,1.84,42.0,0.0,15.0,0.0,1.0
63.0,64.0,3.95,3.73,1.84,42.0,0.0,15.0,0.0,1.0
63.0,64.0,3.95,3.73,1.84,42.0,0.0,15.0,0.0,1.0
63.0,64.0,3.95,3.73,1.84,42.0,0.0,15.0,0.0,1.0
63.0,64.0,3.95,3.73,1.84,42.0,0.0,15.0,0.0,1.0
63.0,64.0,3.95,3.73,1.84,42.0,0.0,15.0,0.0,1.0
63.0,64.0,3.95,3.73,1.84,42.0,0.0,15.0,0.0,1.0
63.0,64.0,3.95,3.73,1.84,42.0,0.0,15.0,0.0,1.0
63.0,64.0,3.95,3.73,1.84,42.0,0.0,15.0,0.0,1.0
63.0,64.0,3.95,3.73,1.84,42.0,0.0,15.0,0.0,1.0
63.0,64.0,3.95,3.73,1.84,42.0,0.0,15.0,0.0,1.0
63.0,64.0,3.95,3.73,1.84,42.0,0.0,15.0,0.0,1.0
63.0,64.0,3.95,3.73,1.84,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.79,3.82,4.55,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.79,3.82,4.55,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.79,3.82,4.55,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.79,3.82,4.55,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.79,3.82,4.55,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.79,3.82,4.55,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.79,3.82,4.55,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.79,3.82,4.55,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.79,3.82,4.55,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.79,3.82,4.55,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.79,3.82,4.55,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.79,3.82,4.55,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.79,3.82,4.55,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.79,3.82,4.55,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.79,3.82,4.55,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.79,3.82,4.55,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.79,3.82,4.55,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.79,3.82,4.55,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.79,3.82,4.55,42.0,0.0,15.0,0.0,1.0
63.0,64.0,1.79,3.82,4.55,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.81,3.44,2.39,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.81,3.44,2.39,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.81,3.44,2.39,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.81,3.44,2.39,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.81,3.44,2.39,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.81,3.44,2.39,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.81,3.44,2.39,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.81,3.44,2.39,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.81,3.44,2.39,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.81,3.44,2.39,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.81,3.44,2.39,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.81,3.44,2.39,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.81,3.44,2.39,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.81,3.44,2.39,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.81,3.44,2.39,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.81,3.44,2.39,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.81,3.44,2.39,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.81,3.44,2.39,42.0,0.0,15.0,0.0,1.0
63.0,64.0,2.81,3.44,2.39,42.0,0.0,15.0,0.0,1.0
